username,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
Fandome,5.822058823529412,6.093023255813954,5.123809523809524,5.795238095238095,,5.411904761904762,,8.4,1.82,5.466666666666667,7.416666666666667,6.966666666666667,5.2375,5.945454545454545,5.714285714285714,4.815789473684211,4.235714285714286,5.327272727272727,8.2
Calxylian,3.715909090909091,3.844444444444445,3.533333333333333,3.971830985915493,3.571428571428572,3.602564102564102,,4.571428571428571,,4.0,3.5,4.121951219512195,4.3,3.710526315789474,3.8484848484848486,3.6458333333333335,3.555555555555556,3.628571428571429,4.166666666666667
Satonee,6.420289855072464,6.515151515151516,4.8087912087912095,6.965753424657534,4.059090909090909,6.13,,5.676470588235294,,6.85,5.833333333333333,6.029411764705882,5.616666666666666,5.150574712643678,4.84375,6.112068965517241,,6.827272727272727,6.5
Phoenyck,6.576923076923077,6.780701754385965,6.565891472868217,7.45,5.704081632653061,6.659090909090909,,5.8,,6.238095238095238,7.1,6.818181818181818,7.383928571428571,6.575,6.2,7.026041666666667,8.125,6.8203125,6.590909090909091
Aaheel,3.6140495867768574,2.803260869565218,4.207865168539326,6.314285714285715,5.057142857142857,3.506849315068493,,6.9,,8.95,8.166666666666666,6.948,7.338888888888889,7.036956521739131,4.073170731707317,7.117073170731707,,6.557142857142857,8.02
RebelPanda,4.906451612903226,5.14,5.404912280701755,5.38303886925795,4.244776119402985,5.113725490196079,2.8,4.571621621621622,6.15,5.296296296296296,5.365217391304348,5.4245283018867925,5.59920634920635,4.906666666666667,5.2021126760563385,5.842857142857143,5.159090909090909,5.246153846153846,5.205263157894737
Alarmedsole09,8.735714285714286,9.094444444444443,7.737931034482759,8.633333333333335,7.438888888888889,8.48709677419355,,10.0,,9.4,8.0,8.958823529411765,9.37391304347826,7.551724137931035,8.817391304347826,8.051111111111112,9.0,8.5,8.6
groggy1,5.725,5.552631578947368,4.469827586206897,6.87984496124031,5.0,5.626506024096385,0.5,3.3,6.0,5.291666666666667,3.083333333333333,6.947916666666667,5.887096774193548,5.756302521008403,4.965909090909091,5.923529411764706,3.9166666666666665,6.991071428571429,6.666666666666667
aikaflip,5.821428571428571,6.452127659574468,5.716216216216216,6.360696517412936,5.677083333333333,6.404761904761905,4.5,5.385416666666667,5.416666666666667,5.026315789473684,6.472222222222222,6.449438202247191,6.63265306122449,5.978571428571429,6.0038167938931295,6.652777777777778,5.9375,6.1440677966101696,6.782051282051282
duckfun,8.582300884955751,8.661538461538461,8.64074074074074,8.858823529411765,8.325,8.289655172413793,,9.0,8.3125,8.772727272727273,8.0,8.670454545454545,8.775510204081632,8.576271186440678,8.788461538461538,8.766666666666666,8.775,8.725352112676056,9.023809523809524
